season,abbreviation,playoffs,x3p,x3p_percent,x3pa,pts
2014,BRK,1,709,0.369,1922,8079
2014,CHA,1,516,0.351,1471,7942
2014,CHI,1,508,0.348,1459,7680
2014,CLE,0,584,0.356,1640,8054
2014,DAL,1,721,0.384,1877,8597
2014,DEN,0,702,0.358,1959,8559
2014,DET,0,507,0.321,1580,8286
2014,GSW,1,774,0.38,2037,8549
2014,HOU,1,779,0.358,2179,8829
2014,IND,1,550,0.357,1542,7933
2014,LAC,1,693,0.352,1966,8850
2014,LAL,0,774,0.381,2032,8442
2014,MEM,1,405,0.353,1147,7884
2014,MIA,1,665,0.364,1829,8380
2014,MIL,0,548,0.353,1553,7829
2014,MIN,0,600,0.341,1757,8768
2014,NOP,0,486,0.373,1303,8177
2014,NYK,0,759,0.372,2038,8084
2014,OKC,1,664,0.361,1839,8705
2014,ORL,0,563,0.353,1596,7914
2014,PHI,0,577,0.312,1847,8155
2014,PHO,0,765,0.372,2055,8629
2014,POR,1,770,0.372,2071,8753
2014,SAC,0,491,0.333,1475,8241
2014,SAS,1,698,0.397,1757,8639
2014,TOR,1,713,0.372,1917,8305
2014,UTA,0,543,0.344,1577,7791
2014,WAS,1,647,0.38,1704,8254
2013,ATL,1,706,0.371,1901,8032
2013,BOS,1,498,0.358,1390,7818
2013,BRK,1,628,0.357,1760,7944
2013,CHA,0,469,0.335,1399,7661
2013,CHI,1,446,0.353,1265,7641
2013,CLE,0,547,0.346,1581,7913
2013,DAL,0,606,0.372,1628,8293
2013,DEN,1,521,0.343,1518,8704
2013,DET,0,513,0.356,1440,7778
2013,GSW,1,658,0.403,1632,8296
2013,HOU,1,867,0.366,2369,8688
2013,IND,1,555,0.347,1599,7674
2013,LAC,1,627,0.358,1752,8289
2013,LAL,1,715,0.355,2015,8381
2013,MEM,1,382,0.345,1107,7659
2013,MIA,1,717,0.396,1809,8436
2013,MIL,1,601,0.36,1670,8108
2013,MIN,0,450,0.305,1475,7851
2013,NOH,0,535,0.363,1474,7714
2013,NYK,1,891,0.376,2371,8196
2013,OKC,1,598,0.377,1588,8669
2013,ORL,0,506,0.329,1537,7718
2013,PHI,0,518,0.36,1438,7640
2013,PHO,0,480,0.33,1455,7805
2013,POR,0,673,0.353,1904,7995
2013,SAC,0,610,0.363,1681,8219
2013,SAS,1,663,0.376,1764,8448
2013,TOR,0,571,0.343,1665,7971
2013,UTA,0,507,0.366,1385,8038
2013,WAS,0,545,0.365,1495,7644
2012,ATL,1,492,0.37,1330,6375
2012,BOS,1,363,0.367,988,6062
2012,CHA,0,263,0.295,892,5739
2012,CHI,1,419,0.375,1117,6359
2012,CLE,0,440,0.346,1273,6140
2012,DAL,1,497,0.339,1464,6322
2012,DEN,1,435,0.332,1311,6872
2012,DET,0,317,0.346,916,5997
2012,GSW,0,524,0.388,1351,6453
2012,HOU,0,478,0.359,1330,6474
2012,IND,1,392,0.368,1064,6449
2012,LAC,1,514,0.357,1441,6438
2012,LAL,1,362,0.326,1112,6422
2012,MEM,1,277,0.326,849,6269
2012,MIA,1,370,0.359,1030,6500
2012,MIL,0,436,0.345,1265,6535
